,name,address,brand,open_time,cash_r,cash_h,cash_k,mem_r,mem_h,mem_k
97,高木町SS / アオイ石油(株),京都府京都市左京区下鴨高木町36,ENEOS,営業時間 07:30 - 22:00,149,160,123,149,160,123
98,五条大宮SS / 木村石油(株),京都府京都市下京区下長福寺町295,ENEOS,営業時間,149,160,123,149,160,123
99,西賀茂SS / (株)西賀茂サービスステーション,京都府京都市北区大宮西小野堀町7,ENEOS,営業時間 07:30 - 19:30,149,160,123,149,160,123
100,セルフ上堀川SS / 西田石油(株),京都府京都市北区紫竹東桃ノ本町35,出光,24時間営業,149,160,127,149,160,127
101,セルフ七条SS / 出光リテール販売(株),京都府京都市下京区材木町488,出光,営業時間 03:00 - 26:00,149,160,127,149,160,127
102,東山SS / (株)河村商事,京都府京都市山科区上花山久保町7-1,ENEOS,営業時間 07:30 - 19:00,149,160,127,149,160,127
103,Dr.Drive セルフ天神川四条店 / (株)ENEOSフロンティア,京都府京都市右京区西院西貝川町32-1,ENEOS,24時間営業,149,160,127,149,160,127
104,Dr.Drive セルフ上桂店 / (株)ENEOSフロンティア,京都府京都市西京区桂上野東町65,ENEOS,24時間営業,149,160,127,149,160,127
105,久世橋通SS / モリカワ商事(株),京都府京都市南区吉祥院蒔絵南町2,昭和シェル,営業時間 08:00 - 21:00,149,160,127,149,160,127
106,セルフ深草SS / 上原成商事(株),京都府京都市伏見区深草馬谷町20-1,コスモ石油,営業時間 06:00 - 21:00,149,160,127,149,160,127
107,高雄SS / (株)洛西自動車,京都府京都市右京区梅ケ畑畑町7,コスモ石油,営業時間 07:30 - 20:00,149,160,127,149,160,127
108,丸太町SS / モリカワ商事(株),京都府京都市上京区中務町931,昭和シェル,営業時間 07:30 - 20:30,149,160,127,149,160,127
109,洛北SS / モリカワ商事(株),京都府京都市左京区下鴨梁田町36,昭和シェル,営業時間 07:30 - 21:00,149,160,127,149,160,127
110,セルフ修学院SS / (株)ペトロスター関西,京都府京都市左京区修学院大林町13,昭和シェル,営業時間 07:00 - 24:00,149,160,129,149,160,129
111,セルフプラザ西院SS / (株)ペトロスター関西,京都府京都市右京区西院日照町12,昭和シェル,24時間営業,149,160,129,149,160,129
112,上桂SS / 大八木石油(株),京都府京都市西京区上桂三ノ宮町34-1,昭和シェル,営業時間,149,160,129,149,160,129
113,西陣SS / モリカワ商事(株),京都府京都市上京区西北小路町237,昭和シェル,営業時間 08:00 - 20:30,149,160,129,149,160,129
114,北山SS / 西田石油(株),京都府京都市北区紫竹東栗栖町35-3,出光,営業時間 07:30 - 20:00,149,160,129,149,160,129
115,岩倉SS / 今井石油(有),京都府京都市左京区岩倉中町392,出光,営業時間 07:00 - 20:00,149,160,129,149,160,129
116,【クロッシング】大将軍SS / 京善石油,京都府京都市北区大将軍西町167,その他,24時間営業,149,160,129,149,160,129
117,山端SS / アオイ石油(株),京都府京都市左京区山端川岸町34-2,ENEOS,営業時間,149,160,129,149,160,129
118,東九条SS / 京都石油(株),京都府京都市南区東九条南松ノ木町4,ENEOS,営業時間,149,160,129,149,160,129
119,Dr.Drive 勧修店 / 吉井石油(株),京都府京都市山科区勧修寺東金ケ崎町27,ENEOS,営業時間,149,160,129,149,160,129
120,Dr.Drive 京都駅前SS / 都日石(株),京都府京都市下京区鎌屋町29,ENEOS,営業時間,157,168,-,157,168,-
121,花園SS / ウメムラ石油サービス(株),京都府京都市右京区花園木辻南町4-1,コスモ石油,営業時間 07:30 - 21:00,157,168,-,157,168,-
122,八条SS / 足立石油(株),京都府京都市南区吉祥院西ノ庄東屋敷町20-3,コスモ石油,営業時間,157,168,-,157,168,-
